"Sample_ID"	"Sequencing_Project"	"Filename"	"Extraction"	"Total_Counts"	"Remove"
"magic.0068"	"Knights_Project_069"	"magic.0068.MagAE.S48.001.fa"	"MagAttract"	125836	1
"magic.0068"	"Knights_Project_069"	"magic.0068.PE.S25.001.fa"	"PowerSoil"	201817	0
"magic.0096"	"Knights_Project_069"	"magic.0096.MagAE.S52.001.fa"	"MagAttract"	1564322	1
"magic.0096"	"Knights_Project_069"	"magic.0096.PPE.S2.001.fa"	"PowerSoilPro"	1654493	1
"magic.0096"	"Knights_Project_069"	"magic.0096.PE.S26.001.fa"	"PowerSoil"	1609514	0
"magic.0140"	"Knights_Project_069"	"magic.0140.MagAE.S49.001.fa"	"MagAttract"	113493	1
"magic.0140"	"Knights_Project_069"	"magic.0140.PPE.S3.001.fa"	"PowerSoilPro"	1021130	1
"magic.0140"	"Knights_Project_069"	"magic.0140.PE.S27.001.fa"	"PowerSoil"	259170	0
"magic.0142"	"Knights_Project_069"	"magic.0142.PPE.S4.001.fa"	"PowerSoilPro"	594205	0
"magic.0142"	"Knights_Project_069"	"magic.0142.MagAE.S53.001.fa"	"MagAttract"	454603	1
"magic.0238"	"Knights_Project_069"	"magic.0238.PE.S28.001.fa"	"PowerSoil"	1596540	0
"magic.0238"	"Knights_Project_069"	"magic.0238.PPE.S5.001.fa"	"PowerSoilPro"	1567501	1
"magic.0238"	"Knights_Project_069"	"magic.0238.MagAE.S50.001.fa"	"MagAttract"	1635119	1
"magic.0378"	"Knights_Project_069"	"magic.0378.PPE.S6.001.fa"	"PowerSoilPro"	1445978	1
"magic.0378"	"Knights_Project_069"	"magic.0378.MagAE.S56.001.fa"	"MagAttract"	1225271	1
"magic.0378"	"Knights_Project_069"	"magic.0378.PE.S29.001.fa"	"PowerSoil"	230805	0
"magic.0481"	"Knights_Project_069"	"magic.0481.PPE.S8.001.fa"	"PowerSoilPro"	25854	1
"magic.0481"	"Knights_Project_069"	"magic.0481.MagAE.S57.001.fa"	"MagAttract"	206307	0
"magic.0485"	"Knights_Project_069"	"magic.0485.MagAE.S61.001.fa"	"MagAttract"	1523766	1
"magic.0485"	"Knights_Project_069"	"magic.0485.PPE.S9.001.fa"	"PowerSoilPro"	1379518	1
"magic.0485"	"Knights_Project_069"	"magic.0485.PE.S31.001.fa"	"PowerSoil"	1230961	0
"magic.0487"	"Knights_Project_069"	"magic.0487.PPE.S10.001.fa"	"PowerSoilPro"	928347	1
"magic.0487"	"Knights_Project_069"	"magic.0487.PE.S32.001.fa"	"PowerSoil"	1207728	0
"magic.0487"	"Knights_Project_069"	"magic.0487.MagAE.S58.001.fa"	"MagAttract"	1031813	1
"magic.0493"	"Knights_Project_069"	"magic.0493.MagAE.S60.001.fa"	"MagAttract"	1747821	1
"magic.0493"	"Knights_Project_069"	"magic.0493.PPE.S7.001.fa"	"PowerSoilPro"	1176676	1
"magic.0493"	"Knights_Project_069"	"magic.0493.PE.S30.001.fa"	"PowerSoil"	94876	0
"magic.0524"	"Knights_Project_069"	"magic.0524.PPE.S11.001.fa"	"PowerSoilPro"	2355071	1
"magic.0524"	"Knights_Project_069"	"magic.0524.MagAE.S62.001.fa"	"MagAttract"	995972	0
"magic.0604"	"Knights_Project_069"	"magic.0604.PE.S33.001.fa"	"PowerSoil"	2298124	0
"magic.0604"	"Knights_Project_069"	"magic.0604.MagAE.S59.001.fa"	"MagAttract"	1597056	1
"magic.0604"	"Knights_Project_069"	"magic.0604.PPE.S12.001.fa"	"PowerSoilPro"	1887549	1
"magic.0837"	"Knights_Project_055"	"X837.S216.001.fa"	"PowerSoil"	511651	1
"magic.0837"	"Knights_Project_068_Pool1"	"magic.0837.S196.001.fa"	"PowerSoil"	1918820	0
"magic.0848"	"Knights_Project_055"	"X848.S186.001.fa"	"PowerSoil"	518553	1
"magic.0848"	"Knights_Project_068_Pool1"	"magic.0848.S231.001.fa"	"PowerSoil"	2059659	0
"magic.0860"	"Knights_Project_055"	"X860.S217.001.fa"	"PowerSoil"	407883	1
"magic.0860"	"Knights_Project_068_Pool1"	"magic.0860.S208.001.fa"	"PowerSoil"	1514176	0
"magic.0888"	"Knights_Project_055"	"X888.S207.001.fa"	"PowerSoil"	763604	1
"magic.0888"	"Knights_Project_068_Pool1"	"magic.0888.S198.001.fa"	"PowerSoil"	1651627	0
"magic.0889"	"Knights_Project_055"	"X889.S218.001.fa"	"PowerSoil"	722509	1
"magic.0889"	"Knights_Project_068_Pool1"	"magic.0889.S209.001.fa"	"PowerSoil"	2400010	0
"magic.0913"	"Knights_Project_055"	"X913.S230.001.fa"	"PowerSoil"	787142	1
"magic.0913"	"Knights_Project_068_Pool1"	"magic.0913.S210.001.fa"	"PowerSoil"	1589279	0
"magic.0933"	"Knights_Project_055"	"X933.S242.001.fa"	"PowerSoil"	739427	0
"magic.0933"	"Knights_Project_068_Pool2"	"magic.0933.S269.001.fa"	"PowerSoil"	1965143	1
"magic.0936"	"Knights_Project_055"	"X936.S265.001.fa"	"PowerSoil"	742996	0
"magic.0936"	"Knights_Project_068_Pool1"	"magic.0936.S199.001.fa"	"PowerSoil"	1271504	1
"magic.0937"	"Knights_Project_055"	"X937.S189.001.fa"	"PowerSoil"	562978	1
"magic.0937"	"Knights_Project_068_Pool1"	"magic.0937.S211.001.fa"	"PowerSoil"	1635829	0
"magic.0951"	"Knights_Project_055"	"X951.S220.001.fa"	"PowerSoil"	693068	1
"magic.0951"	"Knights_Project_068_Pool2"	"magic.0951.S283.001.fa"	"PowerSoil"	2052461	0
"magic.0952"	"Knights_Project_055"	"X952.S300.001.fa"	"PowerSoil"	647482	0
"magic.0952"	"Knights_Project_068_Pool2"	"magic.0952.S295.001.fa"	"PowerSoil"	3380	1
"magic.0978"	"Knights_Project_069"	"magic.0978.PPE.S13.001.fa"	"PowerSoilPro"	1991563	1
"magic.0978"	"Knights_Project_069"	"magic.0978.PE.S34.001.fa"	"PowerSoil"	174675	0
"magic.0978"	"Knights_Project_069"	"magic.0978.MagAE.S64.001.fa"	"MagAttract"	119053	1
"magic.0990"	"Knights_Project_069"	"magic.0990.PPE.S14.001.fa"	"PowerSoilPro"	2192827	1
"magic.0990"	"Knights_Project_069"	"magic.0990.MagAE.S68.001.fa"	"MagAttract"	2030025	1
"magic.0990"	"Knights_Project_069"	"magic.0990.PE.S35.001.fa"	"PowerSoil"	1905185	0
"magic.1232"	"Knights_Project_069"	"magic.1232.MagAE.S65.001.fa"	"MagAttract"	1404417	1
"magic.1232"	"Knights_Project_069"	"magic.1232.PE.S36.001.fa"	"PowerSoil"	1879669	0
"magic.1269"	"Knights_Project_069"	"magic.1269.MagAE.S69.001.fa"	"MagAttract"	278221	1
"magic.1269"	"Knights_Project_069"	"magic.1269.PPE.S15.001.fa"	"PowerSoilPro"	114852	1
"magic.1269"	"Knights_Project_069"	"magic.1269.PE.S37.001.fa"	"PowerSoil"	9940	0
"magic.1412"	"Knights_Project_069"	"magic.1412.MagAE.S72.001.fa"	"MagAttract"	1638771	1
"magic.1412"	"Knights_Project_069"	"magic.1412.PPE.S20.001.fa"	"PowerSoilPro"	1955386	1
"magic.1412"	"Knights_Project_069"	"magic.1412.PE.S41.001.fa"	"PowerSoil"	1520649	0
"magic.1455"	"Knights_Project_069"	"magic.1455.PPE.S16.001.fa"	"PowerSoilPro"	1544377	1
"magic.1455"	"Knights_Project_069"	"magic.1455.MagAE.S66.001.fa"	"MagAttract"	1260431	1
"magic.1455"	"Knights_Project_069"	"magic.1455.PE.S38.001.fa"	"PowerSoil"	1693870	0
"magic.1457"	"Knights_Project_069"	"magic.1457.PPE.S17.001.fa"	"PowerSoilPro"	1953911	1
"magic.1457"	"Knights_Project_069"	"magic.1457.MagAE.S70.001.fa"	"MagAttract"	1536865	0
"magic.1488"	"Knights_Project_069"	"magic.1488.MagAE.S71.001.fa"	"MagAttract"	132701	1
"magic.1488"	"Knights_Project_069"	"magic.1488.PPE.S19.001.fa"	"PowerSoilPro"	419566	1
"magic.1488"	"Knights_Project_069"	"magic.1488.PE.S40.001.fa"	"PowerSoil"	4708	0
"magic.1489"	"Knights_Project_069"	"magic.1489.PPE.S18.001.fa"	"PowerSoilPro"	1420076	1
"magic.1489"	"Knights_Project_069"	"magic.1489.MagAE.S67.001.fa"	"MagAttract"	1887500	1
"magic.1489"	"Knights_Project_069"	"magic.1489.PE.S39.001.fa"	"PowerSoil"	1605773	0
"magic.1757"	"Knights_Project_069"	"magic.1757.PPE.S22.001.fa"	"PowerSoilPro"	705237	1
