#OTU ID	magic.0018.S106.001.fa	magic.0532.S92.001.fa	magic.0322.S65.001.fa	magic.0417.S90.001.fa	magic.0531.S80.001.fa	magic.0124.S61.001.fa	magic.0551.S105.001.fa	magic.0078.S72.001.fa	magic.0231.S63.001.fa	magic.0268.S40.001.fa	magic.0331.S77.001.fa	magic.0011.S46.001.fa	magic.0020.S23.001.fa	magic.0300.S100.001.fa	magic.0021.S35.001.fa	magic.0542.S57.001.fa	magic.0004.S34.001.fa	magic.0075.S60.001.fa	magic.0526.S56.001.fa	magic.0337.S113.001.fa	magic.0471.S103.001.fa	magic.0317.S53.001.fa	magic.0465.S91.001.fa	magic.0040.S71.001.fa	magic.0134.S97.001.fa	magic.0132.S85.001.fa	magic.0148.S26.001.fa	magic.0539.S33.001.fa	magic.0246.S28.001.fa	magic.0307.S112.001.fa	magic.0156.S62.001.fa	magic.0013.S58.001.fa	magic.0131.S73.001.fa	magic.0339.S30.001.fa	magic.0435.S43.001.fa	magic.0242.S87.001.fa	magic.0315.S29.001.fa	magic.0334.S89.001.fa	magic.0290.S88.001.fa	magic.0456.S79.001.fa	magic.0272.S52.001.fa	magic.0402.S78.001.fa	magic.0050.S95.001.fa	magic.0552.S117.001.fa	magic.0367.S42.001.fa	magic.0473.S115.001.fa	magic.0059.S36.001.fa	magic.0015.S70.001.fa	magic.0173.S98.001.fa	magic.0232.S75.001.fa	magic.0543.S69.001.fa	magic.0374.S54.001.fa	magic.0549.S93.001.fa	magic.0547.S81.001.fa	magic.0030.S59.001.fa	magic.0179.S110.001.fa	magic.0100.S96.001.fa	magic.0016.S82.001.fa	magic.0440.S55.001.fa	magic.0244.S111.001.fa	magic.0541.S45.001.fa	magic.0514.S44.001.fa	magic.0001.S22.001.fa	magic.0537.S104.001.fa	magic.0527.S68.001.fa	magic.0287.S76.001.fa	magic.0538.S116.001.fa	magic.0112.S49.001.fa	magic.0109.S25.001.fa	magic.0017.S94.001.fa	magic.0243.S99.001.fa	magic.0316.S41.001.fa	magic.0150.S50.001.fa	magic.0433.S31.001.fa	magic.0053.S24.001.fa	magic.0189.S39.001.fa	magic.0110.S37.001.fa	magic.0079.S84.001.fa	magic.0146.S109.001.fa	magic.0028.S47.001.fa	magic.0428.S102.001.fa	magic.0063.S48.001.fa	magic.0217.S51.001.fa	magic.0335.S101.001.fa	magic.0278.S64.001.fa	magic.0396.S66.001.fa	magic.0048.S83.001.fa	magic.0149.S38.001.fa	magic.0170.S86.001.fa	magic.0164.S74.001.fa	magic.0429.S114.001.fa	magic.0185.S27.001.fa	magic.0484.S32.001.fa	Blank.S67.001.fa	magic.0101.S108.001.fa	Postive.Control.S107.001.fa
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis	13007	1611	19	36	101	3	865	8466	17995	7	4480	1246	78787	748	5	1240	37620	2	3473	34068	348	32227	7	256150	3701	24530	2	10504	330	5	51	94583	403	359	52	12	3	64	151	4735	1	227	1667	2404	34687	148	25	45160	26	15	598	1725	70	32	13286	1054	2	11873	34	1	4	9075	43447	3418	28418	44	36	782	128	100	5	4932	2515	5	115	949	13	8	23697	737	4110	8	5	3489	8	23747	3169	107	21	8	75	2	0	1	1	1
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_pneumoniae	4412	7	2	16	324	1602	3559	4352	3421	3	5965	0	11	349	8	354	166	0	7	27	53	64	36181	4	45461	210	158	456	11835	47	37	20	218	122	59	5	2	458	418	86	0	6	56	11	29	3	4	3750	4161	79	149	2644	520	869	844	69	482	228	3925	4	103	199	224	367	1062	234	3	1	5	97	212	35	218	37	2	337	3	5	30	416	1150	9	67	46820	31	122	3861	31	25	15842	287	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli	309905	47	64	323	871	126803	194859	260499	200457	219	870	967	2153	28828	9007	955	49406	109	59	53	1042	1145	160	171	117319	84538	10190	19800	74	2773	2223	156	192544	107	7331	42	5	3168	123	276	9	20480	166	551	66	15	167	205510	240499	9591	7568	305	6050	1244	87254	786	68174	45196	50	7533	2137	1757	52720	22982	59984	195	1059	5671	207	11451	4796	1381	183970	436	296	1967	598	2805	684	6505	6166	4382	104	256	2350	338	240668	1765	3432	494	16751	1	2	6	2	3
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli_C	5982	2	0	15	84	206	4093	5245	4050	20	14	33	49	37	902	662	4169	3	1	2	122	39	8	2	3995	13939	14	44	12	54	41	0	5583	8	191	1	0	276	8	6	1	442	5	87	0	0	4	1708	5109	235	76	26	15	7	368	12	11927	3786	0	1591	42	57	4443	107	1233	1	7	1228	3	237	614	226	5123	8	8	211	14	555	9	192	1026	406	1	7	235	4	4839	44	85	13	304	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli_D	26408	18	2	38	704	8226	34289	22659	17592	316	423	120	535	1668	7237	149	36718	86	25	2	980	85	264	19	25157	143656	651	1088	44	467	671	16	22345	75	32067	17	1	1908	53	113	1	2798	27	459	2	8	62	9184	39211	42301	484	211	436	788	6051	637	48881	32444	44	11651	10034	550	38333	2184	5098	46	5140	8562	65	53225	3504	1143	20068	80	47	1819	93	3655	456	1497	5148	3556	74	191	2895	93	20852	485	14872	62	2297	2	0	1	1	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_flexneri	10122	6	1	11	1051	1001	7258	8853	6556	238	23	65	274	181	10079	52	54481	93	3	0	1342	20	35	7	6449	22176	72	146	7	93	234	13	10825	86	273	42	0	2658	12	81	0	727	7	477	1	2	63	1485	8862	380	66	252	49	137	1545	159	12678	48000	1	2031	72	208	57669	940	1928	14	27	1533	28	336	802	301	9029	5	15	287	34	685	56	872	7162	4956	9	19	2565	14	7673	235	132	23	552	4	1	1	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leclercia;s__Leclercia_sp002902985	40	163	0	0	5	1	0	57	23	0	1	0	73	1	43	98	21	0	77	0	1	232	34	0	21	47	0	1	12	0	26	0	0	8	2	0	0	1	0	8	0	0	0	6	0	0	0	5	0	1	0	9	8	163	6	29	0	21	2	0	3	7	14	7	15	5	0	0	0	11	18	4	0	16	0	1	0	0	44	6	151	18	15	31	2	25	51	22	0	372	2	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_sp005843885	1669	1	0	3	23	64	1516	1488	1147	13	11	2	18	13	306	1	1536	3	0	0	39	12	0	2	931	2648	3	10	2	14	34	1	1611	1	26	0	0	69	0	0	0	117	3	17	0	0	2	191	1921	32	9	12	10	11	130	62	1606	1356	1	227	4	14	1593	39	337	3	1	180	3	33	81	29	1547	14	4	45	2	64	3	50	217	152	1	3	88	10	1250	24	11	5	78	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis	8190	3	12	8	1	2	50	10	52	4	2637	10	578	83	34	465	6936	21	2	3759	0	6041	22	45721	104972	92081	65	29	1	20	729	34377	194	1	26	355	5	31	20676	4505	76	38	756	0	1854	29	2177	3358	2933	47	6	1	0	8100	4506	449	248	5440	7	40	1	46045	204	0	25	50	0	1493	1919	5707	16	5	542	21	3334	39605	84	299	4471	288	15	5	166	4	19	2	1249	428	5634	1839	4	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pseudopneumoniae_O	10	0	10	5	5	4	4	0	1	0	52	1	89	51	0	13	0	0	0	39	0	4	5	60	77	260	0	30	1	0	20	52	3	0	20	1	0	2	344	7	2	6	13	11	11	2	1	13	1	2	3	0	4	5	17	40	36	0	6	2	0	3	0	0	13	19	13	6	11	49	7	2	5	6	0	6	2	10	37	0	23	4	3	10	0	6	4	2	0	3	3	0	0	0	0	0
