#OTU ID	magic.0604.PE.S33.001.fa	magic.0604.MagAE.S59.001.fa	magic.0258.MagAE.S54.001.fa	magic.1457.PPE.S17.001.fa	magic.0238.PE.S28.001.fa	magic.0604.PPE.S12.001.fa	magic.0524.PPE.S11.001.fa	magic.0348.MagAE.S55.001.fa	magic.0978.PPE.S13.001.fa	magic.1489.PPE.S18.001.fa	magic.1232.MagAE.S65.001.fa	magic.0378.PPE.S6.001.fa	magic.1232.PE.S36.001.fa	magic.1488.MagAE.S71.001.fa	magic.0298.MagAE.S51.001.fa	magic.1457.MagAE.S70.001.fa	magic.2174.PE.S45.001.fa	magic.1269.MagAE.S69.001.fa	magic.1412.MagAE.S72.001.fa	magic.0142.PPE.S4.001.fa	magic.0238.PPE.S5.001.fa	magic.0978.PE.S34.001.fa	magic.0238.MagAE.S50.001.fa	magic.0481.PPE.S8.001.fa	magic.1757.PPE.S22.001.fa	magic.0821.MagAE.S63.001.fa	magic.1757.PE.S43.001.fa	magic.0485.MagAE.S61.001.fa	magic.0990.PPE.S14.001.fa	magic.1455.PPE.S16.001.fa	magic.0990.MagAE.S68.001.fa	magic.0485.PPE.S9.001.fa	magic.1489.MagAE.S67.001.fa	magic.0990.PE.S35.001.fa	magic.1761.MagAE.S76.001.fa	magic.1947.PE.S44.001.fa	magic.1412.PPE.S20.001.fa	magic.1455.MagAE.S66.001.fa	magic.1489.PE.S39.001.fa	magic.1761.PE.S42.001.fa	magic.2174.MagAE.S74.001.fa	magic.1761.PPE.S21.001.fa	magic.1488.PPE.S19.001.fa	magic.0140.MagAE.S49.001.fa	magic.0140.PPE.S3.001.fa	magic.0142.MagAE.S53.001.fa	magic.0978.MagAE.S64.001.fa	magic.0493.MagAE.S60.001.fa	magic.0096.MagAE.S52.001.fa	magic.0481.MagAE.S57.001.fa	magic.0096.PPE.S2.001.fa	magic.0096.PE.S26.001.fa	magic.0485.PE.S31.001.fa	magic.1269.PPE.S15.001.fa	magic.0524.MagAE.S62.001.fa	magic.0487.PPE.S10.001.fa	magic.0487.PE.S32.001.fa	magic.0378.MagAE.S56.001.fa	magic.1947.PPE.S23.001.fa	magic.1412.PE.S41.001.fa	magic.1455.PE.S38.001.fa	magic.2174.PPE.S24.001.fa	magic.0487.MagAE.S58.001.fa	magic.2704.MagAE.S78.001.fa	magic.0140.PE.S27.001.fa	magic.0068.MagAE.S48.001.fa	magic.1757.MagAE.S73.001.fa	magic.0068.PE.S25.001.fa	magic.1947.MagAE.S77.001.fa	magic.0493.PPE.S7.001.fa	magic.0493.PE.S30.001.fa	magic.1488.PE.S40.001.fa	magic.0378.PE.S29.001.fa	Blank.MagAE.S75.001.fa	magic.2704.PE.S46.001.fa	BLANK.PPE.S1.001.fa	magic.1269.PE.S37.001.fa	Blank.PE.S47.001.fa
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_vulgatus	524547	340912	18227	785	380961	369379	633	1566444	1028	320609	486209	435525	735091	842	23694	1940	2280	15065	251	238	237878	50125	360742	175	2935	14105	14331	1091	1122238	677258	913322	323	870475	1275029	298592	762	425	584559	851245	678737	930	295154	660	962	455	91189	22587	4346	272	15220	506	711	8381	994	961	517	5465	404324	826	1861	803251	2209	3912	15875	448	1048	23354	54804	393	268	1117	712	96078	2740	27379	681	3103	154
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_distasonis	1047477	757610	22053	297	142971	591059	34	2063	201	10554	18196	81689	29270	343	7092	196	73	4073	38	61	95672	6599	129507	44	282	1049	1818	426	5747	204886	7596	22	22393	7514	150	459	116	177946	23316	549	61	244	190	227	331	24238	981	494	40	5643	30	82	1979	506	432	107	1182	63872	79	285	275520	251	1064	13081	95	193	128	7036	14	44	146	241	14226	90	6778	330	852	51
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_dorei	55447	34594	1542	61	45283	36228	41	96688	1736	23712	26810	39685	38143	73	1765	144	907	1015	11	17	28553	4204	41531	22	230	1028	967	94	64915	46650	71093	16	64043	76113	19347	63	18	36524	61681	42846	226	18990	57	88	41	7566	1498	517	26	1226	34	64	583	74	79	47	383	33448	55	217	54415	877	300	1306	22	89	1699	5325	24	57	110	49	7886	219	1796	56	194	11
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_gordonii	6986	4829	207	2	1939	4252	1	77	3	1264	1346	803	1809	5	107	4	13	3	0	1	1185	123	1781	3	2	54	22	3	5	857	7	0	2704	6	46	2	0	473	2845	135	4	51	3	2	2	368	85	2	0	53	0	0	11	1	1	1	11	792	4	1	863	14	6	95	2	2	12	303	1	1	6	1	229	9	188	3	3	1
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli_D	48314	61026	1607	81	10330	182169	406	23660	134	97582	43	32096	45	87	796	74	111395	1447	55	55	26096	1707	17795	720	342	1100	948	76	44	10127	117	22	58946	35	35200	181	44	14184	51508	46324	141975	21023	80	53	55	2242	226	111229	563	12985	437	820	183	113	1919	38	60	21480	71	60	5347	143627	109	1612	31	63	5947	1519	33	35909	10006	30	4649	316	945	107	46	5
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_intestinalis	3982	2652	95	7	3725	2247	0	365	7	587	128	621	178	1	108	2	3987	51	0	0	2756	66	3301	8	0	10	13	4	261	1588	157	0	605	230	275	4	2	1045	784	651	1233	243	2	3	2	512	1	2	2	180	0	1	23	3	5	2	8	541	1	0	1786	3692	11	80	5	1	36	501	2	0	5	2	162	0	198	3	8	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_stercorea	201	139	10	1	248	152	1	0	0	342	486	148	553	1	1	0	0	0	0	0	183	10	197	0	1	10	9	0	1	6	0	0	960	0	13	0	0	7	937	24	1	13	0	0	1	19	3	0	0	8	0	0	1	0	0	0	0	101	0	1	7	0	1	5	0	0	2	21	0	0	0	0	18	9	2	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_timonensis	3608	2379	100	1	468	2510	1	244	8	188	62	513	624	0	34	1	16	0	0	0	260	15	406	0	2	7	9	0	2163	251	139	0	192	1164	0	2	0	78	369	9	3	6	0	1	3	92	3	0	0	23	1	0	5	3	0	0	2	70	1	0	138	16	3	64	1	0	0	21	0	1	1	1	107	1	22	2	1	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	3410	2063	142	7	4470	2396	5	9580	9	123	161387	8437	250811	47	156	5	16	110	4	3	2618	995	4227	4	47	38	1881	81	179	4523	142	54	389	180	15383	5	5	3777	420	37075	13	16600	8	19	51	778	3022	400	4	389	3	27	113	69	24	8	76	7867	4	304	5345	14	60	153	18	26	1072	1405	45	26	71	51	1730	6	64	7	81	3
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_caccae	55845	37289	1231	49	2290	35368	2	491	49	53	313859	8037	473057	105	371	59	319	2327	21	26	1364	1061	2138	6	95	92	3927	169	7918	116879	5178	104	173	7576	734	41	24	91355	220	1876	116	831	23	47	85	804	6412	516	3	612	3	28	977	160	79	35	593	7332	17	321	136206	355	385	2187	44	38	80	1329	85	2	66	126	1820	2	1693	16	514	10
