#OTU ID	magic.1959.S65.001.fa	magic.2524.S90.001.fa	magic.2388.S55.001.fa	magic.2032.S88.001.fa	magic.4896.S36.001.fa	magic.2629.S56.001.fa	magic.2818.S91.001.fa	magic.2909.S57.001.fa	magic.2495.S79.001.fa	magic.1921.S29.001.fa	magic.2006.S77.001.fa	magic.4194.S83.001.fa	magic.4033.S47.001.fa	magic.3092.S81.001.fa	magic.2848.S21.001.fa	magic.3840.S11.001.fa	magic.4162.S71.001.fa	magic.2674.S80.001.fa	magic.3943.S35.001.fa	magic.3819.S82.001.fa	magic.3527.S92.001.fa	magic.3763.S70.001.fa	magic.2077.S42.001.fa	magic.2822.S9.001.fa	magic.1502.S87.001.fa	magic.2568.S20.001.fa	magic.1934.S53.001.fa	magic.5001.S48.001.fa	magic.2483.S67.001.fa	magic.1909.S17.001.fa	magic.1926.S41.001.fa	magic.1640.S5.001.fa	magic.2570.S32.001.fa	magic.2096.S54.001.fa	magic.3035.S69.001.fa	magic.2343.S43.001.fa	magic.2850.S33.001.fa	magic.2665.S68.001.fa	magic.2334.S31.001.fa	magic.2099.S66.001.fa	magic.2588.S44.001.fa	magic.3555.S10.001.fa	magic.2034.S6.001.fa	magic.2186.S78.001.fa	magic.3869.S12.001.fa	magic.2055.S30.001.fa	magic.2322.S19.001.fa	magic.3899.S23.001.fa	magic.3083.S94.001.fa	magic.2235.S24.001.fa	magic.3821.S93.001.fa	magic.2049.S18.001.fa	magic.4125.S59.001.fa	magic.3611.S34.001.fa	magic.2885.S45.001.fa	magic.1127.S76.001.fa	magic.2535.S8.001.fa	magic.2193.S89.001.fa	magic.3603.S22.001.fa	magic.2271.S7.001.fa	magic.3681.S58.001.fa	magic.5284.S72.001.fa	magic.5033.S60.001.fa	magic.3679.S46.001.fa
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_sp001815355	88363	16	610	1901	846	20	279	10716	16076	49959	71720	418	979	411	3085	7444	103	439	304	406	54	69	6036	1070	635	2664	39	6511	301	1299	17022	228	1225	24	2671	17	87	53	21	99	5431	87	1584	37133	749	67	242	749	234	314	77	3	26	60	17	5562	164	538	14	245	650	663	1289	18523
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_M	110510	0	1140	2322	312	7	101	3047	6528	45761	92407	105	421	164	1423	4151	296	1195	138	231	18	7	1967	131	1167	967	29	4113	80	864	5450	737	222	24	935	4	167	78	25	129	1429	28	522	48333	125	57	429	345	20	449	14	13	1	36	4	7783	287	516	2	142	397	210	578	8987
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_dispar_A	134475	137	11881	3028	985	19323	2433	1153	124302	66	128039	1164	148	2129	16110	1787	188	30849	120	304	48	21810	46937	165	731	15363	45	23355	504	41	4267	93	1594	48967	79920	17573	964	7408	6219	2891	62557	5921	6369	41811	2049	210622	46	152	1165	23903	20279	49	19	1628	175	9579	2848	286	3543	39271	2491	921	4183	29058
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_L	33492	3	451	694	418	5	105	3665	10138	18814	28053	129	725	182	1282	7787	55	120	204	288	33	2	2199	337	247	955	13	6359	40	564	9677	79	340	4	2204	10	34	26	10	36	4583	33	941	28884	182	24	150	300	18	256	44	2	10	30	11	2179	64	357	2	139	408	323	1045	8446
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pluralibacter;s__Pluralibacter_gergoviae	156931	230	8896	29018	406	473	345	135	1182	2439533	900203	71	39	82	264	11	18	420	643	114	668	329	675568	1379	4155	1837	9769	197	35	73082	2298	694	2954	1289	1435	3664	12776	16974	6222	3661	6559	22	1985	2723	82	3099	30119	52	241	13189	2665	5471	367	495	178	21996	24821	38751	65	20504	520	27	245	354
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp003463205	970	424	236	7	343	38	2527	49	7	22	8	24	37253	43626	1271	33003	1672	467	39914	48292	772	18	24	167	41	44	20	18	8	2745	900	20	2664	30	19	16	21	12	9	7	24	18	371	6	366	19	42	19547	255	226	11	28	1733	872	17	32	27	45	1537	15	20	3239	636	51
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_N	40099	1	280	1177	252	0	72	2949	4273	13456	31369	83	277	91	1412	2152	27	195	90	111	17	7	1696	176	280	734	7	1863	437	318	4268	121	155	11	1001	2	36	21	3	23	1272	28	420	18067	110	54	126	293	14	143	19	4	4	20	11	2466	41	204	0	76	309	192	306	4855
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_K	58088	1	244	1260	650	8	236	7693	9069	37013	49157	190	618	320	1635	3276	54	114	224	149	63	7	4826	595	367	1869	14	4143	67	1049	15598	91	687	15	1817	7	42	29	12	60	3544	57	1478	19136	263	39	122	617	22	115	41	4	11	33	17	3829	45	249	12	122	438	488	726	17055
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_sp900545205	37380	12	297	826	88	2120	119	321	3778	6	36193	683	21	225	512	134	25	931	9	21	2	2002	4921	21	222	3605	7	2428	44	10	128	23	55	4426	2612	1665	26	265	793	419	4497	1958	192	4032	385	13075	3	13	206	583	1019	5	3	446	67	2656	184	71	283	2607	214	98	407	2608
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P_perfringens	39947	299	4138	2824	8	411	170	13	1370844	25	267	114	18	206	56	5	82	50819	17	120	135	610	39017	2173	119	29684	21656	388	335152	41	60	687	945	11231	17772	57759	953	509963	130234	241	283966	125	26	387	11	161	294	25	1	26	3786	128915	13	12	60	467647	24003	36	49	18316	8	339	2	39
