"otu.1"	"otu.2"	"otu.3"	"otu.4"	"otu.5"	"otu.6"	"otu.7"	"otu.8"	"otu.9"	"otu.10"	"otu.11"	"otu.12"	"otu.13"	"otu.14"	"otu.15"	"otu.16"	"otu.17"	"otu.18"	"otu.19"	"otu.20"	"otu.21"	"otu.22"	"otu.23"	"otu.24"	"otu.25"	"otu.26"	"otu.27"	"otu.28"	"otu.29"	"otu.30"	"otu.31"	"otu.32"	"otu.33"	"otu.34"	"otu.35"	"otu.36"	"otu.37"	"otu.38"	"otu.39"	"otu.40"	"otu.41"	"otu.42"	"otu.43"	"otu.44"	"otu.45"	"otu.46"	"otu.47"	"otu.48"	"otu.49"	"otu.50"	"otu.51"	"otu.52"	"otu.53"	"otu.54"	"otu.55"	"otu.56"	"otu.57"	"otu.58"	"otu.59"	"otu.60"	"otu.61"	"otu.62"	"otu.63"	"otu.64"	"otu.65"	"otu.66"	"otu.67"	"otu.68"	"otu.69"	"otu.70"	"otu.71"	"otu.72"	"otu.73"	"otu.74"	"otu.75"	"otu.76"	"otu.77"	"otu.78"	"otu.79"	"otu.80"
"sample.1"	0.000215699039782988	0.000501933396746929	0.00109723731570046	0.00225326172665719	0.00434689656044383	0.00787777488849238	0.0134117182727286	0.0214497321068405	0.0322267060563982	0.0454848281351198	0.0603078426679577	0.0751168941930836	0.0878937609106645	0.0966128887377409	0.0997628120810976	0.0967740444781162	0.0881872289553783	0.0754934191921198	0.0607112381098275	0.0458654521000841	0.0325505898368374	0.0217014444483483	0.0135917386519323	0.00799683220941026	0.00441995194019356	0.00229495252288959	0.00111940297980497	0.000512927290779962	0.000220791194822522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.2"	0	0.000213193634356025	0.000496516889931457	0.00108630158830475	0.00223266414273389	0.00431075137519509	0.00781878278679989	0.0133223830297343	0.0213246188944268	0.0320654423711235	0.0452949503623876	0.0601061533753542	0.0749280926214659	0.087745936646117	0.0965308090264174	0.0997611559465884	0.0968531152684772	0.0883328638071585	0.0756811324716096	0.0609129353478857	0.0460561922630072	0.0327132072755709	0.0218280437853241	0.0136824258120085	0.00805690017265567	0.00445686478238613	0.00231604785415556	0.00113063439712989	0.00051850560323123	0.000223378468463449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.3"	0	0	0.000201063039547956	0.00047022054146801	0.00103306475669497	0.00213211236616993	0.00413379777616094	0.0075291328526054	0.0128824150824088	0.0207064768540423	0.0312659571971509	0.0443500222078996	0.0590979680834674	0.0739788969486415	0.0869960929910455	0.0961054996580672	0.099736317272816	0.0972332965102713	0.0890498693722005	0.0766140037152695	0.0619212371873225	0.0470140523329715	0.0335329948886885	0.0224684748623132	0.0141426710488504	0.00836268774616654	0.00464533369592597	0.00242406659940237	0.00118830732214904	0.00054722961645346	0.000236737473828883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.4"	0	0	0	0.000198714439716681	0.000465115371017637	0.00102270069889632	0.00211248195643417	0.0040991523381661	0.00747225533221573	0.0127957558136068	0.0205843320342691	0.0311074354378649	0.0441619491290009	0.0588964139761252	0.0737880557434444	0.0868440115682977	0.0960174749418407	0.0997280391080053	0.0973062808873371	0.0891910060571302	0.0767994034244854	0.0621228290464457	0.0472064344100096	0.0336982825183728	0.0225980481810827	0.014236088803	0.00842494436127044	0.00468381776383307	0.002446186314712	0.00120015038792575	0.00055314425024638	0.000239495705247295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.5"	0	0	0	0	0	0.000440418387537888	0.000972440109187171	0.00201705099966672	0.00393031618521218	0.00719440190372862	0.0123713899361478	0.0199847578778772	0.0303274490064066	0.0432344029785631	0.057900144305416	0.0728427647217124	0.086089421726301	0.0955806006024589	0.0996887876968289	0.0976741114177332	0.0899019720158675	0.0777348137338699	0.0631420243282647	0.0481812469005932	0.0345377597223259	0.0232577065950446	0.0147128296271176	0.00874343567482403	0.00488117780176102	0.00255990430490771	0.00126118683508539	0.000583702726081735	0.000253781879478985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.6"	0	0	0	0	0	0	0.000416834818534451	0.000924210652635053	0.00192501689768334	0.00376664522937847	0.00692359224660003	0.0119554201635659	0.0193934376953388	0.0295529847558835	0.0423062464650489	0.0568937074689268	0.0718754489758509	0.0853008778456603	0.0951005493150866	0.099602249105741	0.097996792223201	0.0905755895489235	0.0786442678991421	0.064147476045893	0.0491528458243962	0.0353813464818179	0.0239252585918775	0.0151983177246685	0.00906965971441837	0.00508443923789066	0.00267763715143174	0.00132469831367183	0.000615657021196941	0.000268792585536953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.7"	0	0	0	0	0	0	0	0.00041225820677039	0.000914825376622415	0.0019070570765513	0.00373461445936298	0.00687043843419956	0.0118735264784015	0.0192766513614498	0.0293995075104389	0.0421216245545031	0.0566926509537944	0.0716811579418381	0.0851412171524344	0.0950016813177377	0.0995816512138669	0.09805820747654	0.0907079123241696	0.0788248200764351	0.0643483476515613	0.0493478692929231	0.0355513426283196	0.0240602537295689	0.0152968142769502	0.00913604814634493	0.00512592633093974	0.00270173616254796	0.00133773505025832	0.000622234191271574	0.000271890624198361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.8"	0	0	0	0	0	0	0	0	0.00039005331328508	0.000869165390996168	0.00181943889031627	0.00357790756872808	0.00660963313975475	0.0114704957485699	0.0187000865376161	0.0286392499121096	0.04120370384766	0.0556887499922937	0.0707058385500172	0.0843334135740441	0.0944932262021341	0.0994622476466694	0.0983495679193797	0.0913572962976458	0.0797206103534241	0.0653513535079018	0.0503263175259467	0.0364076221166116	0.0247426419912098	0.0157963381660532	0.00947378159866331	0.00533761087690618	0.00282505589863433	0.00140463593966089	0.000656080457802167	0.000287877035966037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.9"	0	0	0	0	0	0	0	0	0	0.000385745185672587	0.000860282087396203	0.00180234464604593	0.00354724672356267	0.00655845505350431	0.0113911689126748	0.0185862438985062	0.0284886301360925	0.041021175066385	0.0554882746990835	0.0705100367605139	0.0841699861281489	0.0943887348438458	0.0994350895632457	0.0984046833962502	0.0914846987708307	0.0798983390808614	0.0655516511077116	0.0505226490486171	0.0365801251813591	0.0248806003752019	0.0158976568707833	0.00954249579600813	0.00538080719097081	0.00285029281682717	0.00141836537629243	0.00066304554118572	0.000291175742422272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.10"	0	0	0	0	0	0	0	0	0	0	0.000364847422621985	0.000817073656780162	0.00171896775287857	0.00339727611195273	0.00630740264738226	0.011000865670189	0.0180243562273665	0.0277427339701132	0.0401139424937322	0.0544876443608612	0.0695276118858205	0.0833437788043986	0.0938524592738007	0.099282961178917	0.0986643777583547	0.0921091205371509	0.0807795603040682	0.0665513591080062	0.0515073217255026	0.0374487737957953	0.0255777790065406	0.0164113631022219	0.00989197643068255	0.00560116138821789	0.00297940604529351	0.00148880527132296	0.000698880134392901	0.000308193935635365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
