"otu.1"	"otu.2"	"otu.3"	"otu.4"	"otu.5"	"otu.6"	"otu.7"	"otu.8"	"otu.9"	"otu.10"	"otu.11"	"otu.12"	"otu.13"	"otu.14"	"otu.15"	"otu.16"	"otu.17"	"otu.18"	"otu.19"	"otu.20"	"otu.21"	"otu.22"	"otu.23"	"otu.24"	"otu.25"	"otu.26"	"otu.27"	"otu.28"	"otu.29"	"otu.30"	"otu.31"	"otu.32"	"otu.33"	"otu.34"	"otu.35"	"otu.36"	"otu.37"	"otu.38"	"otu.39"	"otu.40"	"otu.41"	"otu.42"	"otu.43"	"otu.44"	"otu.45"	"otu.46"	"otu.47"	"otu.48"	"otu.49"	"otu.50"	"otu.51"	"otu.52"	"otu.53"	"otu.54"	"otu.55"	"otu.56"	"otu.57"	"otu.58"	"otu.59"	"otu.60"	"otu.61"	"otu.62"	"otu.63"	"otu.64"	"otu.65"	"otu.66"	"otu.67"	"otu.68"	"otu.69"	"otu.70"	"otu.71"	"otu.72"	"otu.73"	"otu.74"	"otu.75"	"otu.76"	"otu.77"	"otu.78"	"otu.79"	"otu.80"	"otu.81"	"otu.82"	"otu.83"	"otu.84"	"otu.85"	"otu.86"	"otu.87"	"otu.88"	"otu.89"	"otu.90"	"otu.91"	"otu.92"	"otu.93"	"otu.94"	"otu.95"	"otu.96"	"otu.97"	"otu.98"	"otu.99"	"otu.100"	"otu.101"	"otu.102"	"otu.103"	"otu.104"	"otu.105"	"otu.106"
"sample.1"	0.000137276589980736	0.000329721314300236	0.00074396783066681	0.00157694986573419	0.0031400619108754	0.00587374556608518	0.0103216384972581	0.0170387901205473	0.0264232027596927	0.0384936201266129	0.0526803497800308	0.067727514580705	0.0817971593771559	0.0928042574621867	0.0989131820663318	0.0990369008520466	0.0931529267740329	0.0823099925575742	0.0683227306057985	0.0532763499299738	0.0390265629889329	0.0268560874671092	0.0173612813425845	0.0105433203430652	0.00601491679591322	0.00322357991412324	0.00162294518902251	0.000767583904681889	0.000341039325795372	0.000142344161182279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.2"	0	0	0.000210714997878268	0.000491153398452125	0.00107546295048741	0.00221223036266666	0.00427485943220271	0.00776014655904793	0.0132334963884178	0.0212000008228581	0.0319046325577095	0.0451053660458547	0.0599044756178971	0.0747389384330678	0.0875973915341891	0.0964477316326558	0.0997583957843345	0.0969311778993064	0.088477759955245	0.075868472838917	0.0611146262989787	0.046247213823604	0.0328762732732128	0.0219551386787201	0.0137735656213012	0.00811732949773889	0.00449403616214513	0.00233731122717563	0.00114196586528303	0.000524138781515149	0.000225993559137407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.3"	0	0	0	0	0.000297829865968829	0.00067706846914154	0.00144595083854543	0.00290088866111747	0.00546720285683174	0.00967956657444654	0.0160991604540394	0.0251540049124253	0.0369205063717687	0.0509078494545324	0.0659414432627318	0.0802395972977355	0.0917224459233626	0.0984961168855219	0.0993617394842944	0.0941620397128976	0.0838280037187149	0.0701066129064717	0.0550789232548264	0.0406507434516048	0.0281843574847413	0.0183571129283972	0.0112320031184023	0.00645604644431664	0.0034860424521429	0.00176829733312295	0.000842625324181055	0.000377198813006947	0.000158621744709981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.4"	0	0	0	0	0	0.000189570211482646	0.000445193698524761	0.00098216514375391	0.00203552584511343	0.00396301138117268	0.00724820742131306	0.0124535308618213	0.0201006908689125	0.0304779717833088	0.0434127938164399	0.0580906188975022	0.0730215195499287	0.0862287963322639	0.0956555947489295	0.0996839006566791	0.0975879659439142	0.0897478602682614	0.0775369181423908	0.0629288162048987	0.0479785571983437	0.0343638172282057	0.0231212980454388	0.0146143538485793	0.00867767977630436	0.00484043303158446	0.00253642139010506	0.00124857660447246	0.000577385102010774	0.000250825998343801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.5"	0	0	0	0	0	0	0	0.000268745122645331	0.00061554830963254	0.00132446440092321	0.00267716433927561	0.00508354143712722	0.00906805821088282	0.0151956340341733	0.0239210339144993	0.0353750989098838	0.049144166506886	0.0641361490046456	0.0786303810415248	0.0905595958808626	0.0979794881330631	0.0995846615270319	0.0950837566381002	0.0852858155763186	0.071862757343609	0.056883661284557	0.042298776107238	0.0295477663451533	0.0193900132384117	0.0119533090978519	0.00692236969164088	0.00376598012221436	0.00192467698180284	0.000924047457247971	0.000416761214622436	0.000176578128174922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.6"	0	0	0	0	0	0	0	0	0.000158621744709981	0.000377198813006947	0.000842625324181056	0.00176829733312295	0.0034860424521429	0.00645604644431664	0.0112320031184023	0.0183571129283972	0.0281843574847413	0.0406507434516048	0.0550789232548264	0.0701066129064717	0.0838280037187149	0.0941620397128976	0.0993617394842944	0.0984961168855219	0.0917224459233626	0.0802395972977355	0.0659414432627318	0.0509078494545324	0.0369205063717687	0.0251540049124253	0.0160991604540394	0.00967956657444654	0.00546720285683174	0.00290088866111747	0.00144595083854543	0.00067706846914154	0.000297829865968829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.7"	0	0	0	0	0	0	0	0	0	0	0.000242283391471722	0.000559116623482084	0.00121209807117233	0.00246848055438294	0.00472256838602053	0.00848757051696859	0.014329965025418	0.0227281172002002	0.0338640100902465	0.0473990791445613	0.0623243874587478	0.0769843997888262	0.0893313777890788	0.0973782423485249	0.0997186580298253	0.0959284691950925	0.0866912365811459	0.0735968923385505	0.0586948976860116	0.0439741869343383	0.0309493748798158	0.020462681267555	0.0127095388384853	0.0074157254122497	0.00406475227906069	0.00209300912072475	0.00101242941215931	0.000460060535696317	0.000196391100187206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.8"	0	0	0	0	0	0	0	0	0	0	0	0.000142344161182279	0.000341039325795372	0.000767583904681889	0.00162294518902251	0.00322357991412324	0.00601491679591322	0.0105433203430652	0.0173612813425845	0.0268560874671092	0.0390265629889329	0.0532763499299738	0.0683227306057985	0.0823099925575742	0.0931529267740329	0.0990369008520466	0.0989131820663318	0.0928042574621867	0.0817971593771559	0.067727514580705	0.0526803497800308	0.0384936201266129	0.0264232027596927	0.0170387901205473	0.0103216384972581	0.00587374556608518	0.0031400619108754	0.00157694986573419	0.00074396783066681	0.000329721314300236	0.000137276589980736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000218231472959073	0.000507403376694727	0.0011082708667872	0.00227402416758539	0.00438329630792109	0.00793712423842968	0.0135015031414587	0.0215753405875452	0.0323884223174645	0.0456749963822574	0.0605095390622106	0.0753053380745791	0.0880408598380212	0.0966939681000227	0.0997633641321269	0.0966939681000227	0.0880408598380212	0.0753053380745791	0.0605095390622106	0.0456749963822574	0.0323884223174645	0.0215753405875452	0.0135015031414587	0.00793712423842968	0.00438329630792109	0.00227402416758539	0.0011082708667872	0.000507403376694727	0.000218231472959073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000127638055482334	0.000308107444186579	0.000698684000892653	0.0014883874534817	0.00297856990572169	0.00559958948005445	0.0098892003495404	0.0164067574224627	0.0255706008667163	0.0374382641837415	0.0514928667269968	0.0665326821555995	0.0807568903537703	0.0920832710626464	0.0986366886185334	0.09925509844004	0.0938261205492637	0.0833203892326304	0.0695080996787739	0.054472352965552	0.0401026849295766	0.0277349482580115	0.0180192978777259	0.0109977783907208	0.00630563253989484	0.00339632270145735	0.00171848534231115	0.000816844353487111	0.0003647450319565	0.000153001628771787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
